"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","series"
"1","super mario bros.","NES","1985","Platform","Nintendo",29.08,3.58,6.81,0.77,40.24,NA,NA,"",NA,"","","super mario"
"2","new super mario bros.","Nintendo DS","2006","Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,89,65,"8.5",431,"Nintendo","E","super mario"
"3","new super mario bros. wii","Wii","2009","Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,87,80,"8.4",594,"Nintendo","E","super mario"
"4","super mario world","Super NES","1990","Platform","Nintendo",12.78,3.75,3.54,0.55,20.61,NA,NA,"",NA,"","","super mario"
"5","super mario land","Game Boy","1989","Platform","Nintendo",10.83,2.71,4.18,0.42,18.14,NA,NA,"",NA,"","","super mario"
"6","super mario bros. 3","NES","1988","Platform","Nintendo",9.54,3.44,3.84,0.46,17.28,NA,NA,"",NA,"","","super mario"
"7","super mario 64","Nintendo 64","1996","Platform","Nintendo",6.91,2.85,1.91,0.23,11.89,NA,NA,"",NA,"","","super mario"
"8","super mario galaxy","Wii","2007","Platform","Nintendo",6.06,3.35,1.2,0.74,11.35,97,73,"8.9",2147,"Nintendo","E","super mario"
"9","super mario land 2: 6 golden coins","Game Boy","1992","Adventure","Nintendo",6.16,2.04,2.69,0.29,11.18,NA,NA,"",NA,"","","super mario"
"10","super mario 3d land","3Nintendo DS","2011","Platform","Nintendo",4.89,3,2.14,0.78,10.81,90,82,"8.4",921,"Nintendo","E","super mario"
"11","super mario all-stars","Super NES","1993","Platform","Nintendo",5.99,2.15,2.12,0.29,10.55,NA,NA,"",NA,"","","super mario"
"12","super mario 64","Nintendo DS","2004","Platform","Nintendo",5.01,3.07,1.25,0.97,10.3,NA,NA,"",NA,"","","super mario"
"13","new super mario bros. 2","3Nintendo DS","2012","Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,78,70,"7.2",424,"Nintendo","E","super mario"
"14","super mario kart","Super NES","1992","Racing","Nintendo",3.54,1.24,3.81,0.18,8.76,NA,NA,"",NA,"","","super mario"
"15","super mario galaxy 2","Wii","2010","Platform","Nintendo",3.56,2.35,0.98,0.62,7.51,97,87,"9.1",1854,"Nintendo EAD Tokyo","E","super mario"
"16","super mario bros. 2","NES","1988","Platform","Nintendo",5.39,1.18,0.7,0.19,7.46,NA,NA,"",NA,"","","super mario"
"17","super mario sunshine","GameCube","2002","Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,92,61,"8.6",439,"Nintendo","E","super mario"
"18","super mario advance","Game BoyA","2001","Platform","Nintendo",3.14,1.24,0.91,0.2,5.49,84,19,"7.8",41,"Nintendo","E","super mario"
"19","super mario world","Game BoyA","2001","Platform","Nintendo",3.21,1.11,0.95,0.2,5.46,NA,NA,"",NA,"","","super mario"
"20","new super mario bros. u","Wii U","2012","Platform","Nintendo",2.3,1.34,1.27,0.32,5.22,84,70,"8.1",733,"Nintendo","E","super mario"
